GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADKWE001,NAME_M,ADKWM001
"G1100010003200","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003200",,,"Census Tract 32, District of Columbia, District of Columbia",4997,"Census Tract 32, District of Columbia, District of Columbia",547
"G1100010003301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003301",,,"Census Tract 33.01, District of Columbia, District of Columbia",3619,"Census Tract 33.01, District of Columbia, District of Columbia",389
"G1100010003302","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003302",,,"Census Tract 33.02, District of Columbia, District of Columbia",2338,"Census Tract 33.02, District of Columbia, District of Columbia",224
"G1100010003400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003400",,,"Census Tract 34, District of Columbia, District of Columbia",4716,"Census Tract 34, District of Columbia, District of Columbia",492
"G1100010003500","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003500",,,"Census Tract 35, District of Columbia, District of Columbia",5603,"Census Tract 35, District of Columbia, District of Columbia",585
"G1100010003600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003600",,,"Census Tract 36, District of Columbia, District of Columbia",5036,"Census Tract 36, District of Columbia, District of Columbia",642
"G1100010003700","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003700",,,"Census Tract 37, District of Columbia, District of Columbia",5860,"Census Tract 37, District of Columbia, District of Columbia",555
"G1100010003800","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003800",,,"Census Tract 38, District of Columbia, District of Columbia",4969,"Census Tract 38, District of Columbia, District of Columbia",549
"G1100010003900","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"003900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001003900",,,"Census Tract 39, District of Columbia, District of Columbia",4492,"Census Tract 39, District of Columbia, District of Columbia",358
"G1100010004001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004001",,,"Census Tract 40.01, District of Columbia, District of Columbia",4120,"Census Tract 40.01, District of Columbia, District of Columbia",441
"G1100010004002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004002",,,"Census Tract 40.02, District of Columbia, District of Columbia",2998,"Census Tract 40.02, District of Columbia, District of Columbia",267
"G1100010004100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004100",,,"Census Tract 41, District of Columbia, District of Columbia",2759,"Census Tract 41, District of Columbia, District of Columbia",225
"G1100010004201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004201",,,"Census Tract 42.01, District of Columbia, District of Columbia",3625,"Census Tract 42.01, District of Columbia, District of Columbia",283
"G1100010004202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004202",,,"Census Tract 42.02, District of Columbia, District of Columbia",2635,"Census Tract 42.02, District of Columbia, District of Columbia",246
"G1100010004300","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004300",,,"Census Tract 43, District of Columbia, District of Columbia",3720,"Census Tract 43, District of Columbia, District of Columbia",297
"G1100010004400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004400",,,"Census Tract 44, District of Columbia, District of Columbia",5702,"Census Tract 44, District of Columbia, District of Columbia",376
"G1100010004600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004600",,,"Census Tract 46, District of Columbia, District of Columbia",2947,"Census Tract 46, District of Columbia, District of Columbia",308
"G1100010004701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004701",,,"Census Tract 47.01, District of Columbia, District of Columbia",4478,"Census Tract 47.01, District of Columbia, District of Columbia",641
"G1100010004702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004702",,,"Census Tract 47.02, District of Columbia, District of Columbia",2558,"Census Tract 47.02, District of Columbia, District of Columbia",226
"G1100010004801","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004801",,,"Census Tract 48.01, District of Columbia, District of Columbia",2223,"Census Tract 48.01, District of Columbia, District of Columbia",284
"G1100010004802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004802",,,"Census Tract 48.02, District of Columbia, District of Columbia",3548,"Census Tract 48.02, District of Columbia, District of Columbia",382
"G1100010004901","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004901",,,"Census Tract 49.01, District of Columbia, District of Columbia",2600,"Census Tract 49.01, District of Columbia, District of Columbia",301
"G1100010004902","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"004902",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001004902",,,"Census Tract 49.02, District of Columbia, District of Columbia",2842,"Census Tract 49.02, District of Columbia, District of Columbia",300
"G1100010005001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005001",,,"Census Tract 50.01, District of Columbia, District of Columbia",2116,"Census Tract 50.01, District of Columbia, District of Columbia",249
"G1100010005002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005002",,,"Census Tract 50.02, District of Columbia, District of Columbia",6051,"Census Tract 50.02, District of Columbia, District of Columbia",487
"G1100010005201","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005201",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005201",,,"Census Tract 52.01, District of Columbia, District of Columbia",6224,"Census Tract 52.01, District of Columbia, District of Columbia",503
"G1100010005301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005301",,,"Census Tract 53.01, District of Columbia, District of Columbia",4999,"Census Tract 53.01, District of Columbia, District of Columbia",308
"G1100010005500","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005500",,,"Census Tract 55, District of Columbia, District of Columbia",6632,"Census Tract 55, District of Columbia, District of Columbia",721
"G1100010005600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005600",,,"Census Tract 56, District of Columbia, District of Columbia",6964,"Census Tract 56, District of Columbia, District of Columbia",1006
"G1100010005800","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005800",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005800",,,"Census Tract 58, District of Columbia, District of Columbia",2781,"Census Tract 58, District of Columbia, District of Columbia",315
"G1100010005900","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005900",,,"Census Tract 59, District of Columbia, District of Columbia",2882,"Census Tract 59, District of Columbia, District of Columbia",299
"G1100010006202","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006202",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006202",,,"Census Tract 62.02, District of Columbia, District of Columbia",117,"Census Tract 62.02, District of Columbia, District of Columbia",94
"G1100010006400","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006400",,,"Census Tract 64, District of Columbia, District of Columbia",2130,"Census Tract 64, District of Columbia, District of Columbia",280
"G1100010006500","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006500",,,"Census Tract 65, District of Columbia, District of Columbia",2583,"Census Tract 65, District of Columbia, District of Columbia",277
"G1100010006600","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006600",,,"Census Tract 66, District of Columbia, District of Columbia",1904,"Census Tract 66, District of Columbia, District of Columbia",208
"G1100010006700","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006700",,,"Census Tract 67, District of Columbia, District of Columbia",4213,"Census Tract 67, District of Columbia, District of Columbia",234
"G1100010006801","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006801",,,"Census Tract 68.01, District of Columbia, District of Columbia",2017,"Census Tract 68.01, District of Columbia, District of Columbia",195
"G1100010006802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006802",,,"Census Tract 68.02, District of Columbia, District of Columbia",2342,"Census Tract 68.02, District of Columbia, District of Columbia",224
"G1100010006804","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006804",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006804",,,"Census Tract 68.04, District of Columbia, District of Columbia",2949,"Census Tract 68.04, District of Columbia, District of Columbia",251
"G1100010006900","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"006900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006900",,,"Census Tract 69, District of Columbia, District of Columbia",2181,"Census Tract 69, District of Columbia, District of Columbia",192
"G1100010007000","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007000",,,"Census Tract 70, District of Columbia, District of Columbia",2794,"Census Tract 70, District of Columbia, District of Columbia",430
"G1100010007100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007100",,,"Census Tract 71, District of Columbia, District of Columbia",3064,"Census Tract 71, District of Columbia, District of Columbia",403
"G1100010007200","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007200",,,"Census Tract 72, District of Columbia, District of Columbia",4584,"Census Tract 72, District of Columbia, District of Columbia",514
"G1100010007301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007301",,,"Census Tract 73.01, District of Columbia, District of Columbia",4002,"Census Tract 73.01, District of Columbia, District of Columbia",392
"G1100010007304","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007304",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007304",,,"Census Tract 73.04, District of Columbia, District of Columbia",3514,"Census Tract 73.04, District of Columbia, District of Columbia",467
"G1100010007401","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007401",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007401",,,"Census Tract 74.01, District of Columbia, District of Columbia",2453,"Census Tract 74.01, District of Columbia, District of Columbia",200
"G1100010007403","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007403",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007403",,,"Census Tract 74.03, District of Columbia, District of Columbia",3500,"Census Tract 74.03, District of Columbia, District of Columbia",371
"G1100010007404","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007404",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007404",,,"Census Tract 74.04, District of Columbia, District of Columbia",3795,"Census Tract 74.04, District of Columbia, District of Columbia",466
"G1100010007406","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007406",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007406",,,"Census Tract 74.06, District of Columbia, District of Columbia",3061,"Census Tract 74.06, District of Columbia, District of Columbia",468
"G1100010007407","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007407",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007407",,,"Census Tract 74.07, District of Columbia, District of Columbia",2734,"Census Tract 74.07, District of Columbia, District of Columbia",308
"G1100010007408","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007408",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007408",,,"Census Tract 74.08, District of Columbia, District of Columbia",3548,"Census Tract 74.08, District of Columbia, District of Columbia",454
"G1100010007409","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007409",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007409",,,"Census Tract 74.09, District of Columbia, District of Columbia",3802,"Census Tract 74.09, District of Columbia, District of Columbia",410
"G1100010007502","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007502",,,"Census Tract 75.02, District of Columbia, District of Columbia",5361,"Census Tract 75.02, District of Columbia, District of Columbia",522
"G1100010007503","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007503",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007503",,,"Census Tract 75.03, District of Columbia, District of Columbia",2694,"Census Tract 75.03, District of Columbia, District of Columbia",301
"G1100010007504","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007504",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007504",,,"Census Tract 75.04, District of Columbia, District of Columbia",2780,"Census Tract 75.04, District of Columbia, District of Columbia",341
"G1100010007601","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007601",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007601",,,"Census Tract 76.01, District of Columbia, District of Columbia",4182,"Census Tract 76.01, District of Columbia, District of Columbia",548
"G1100010007603","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007603",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007603",,,"Census Tract 76.03, District of Columbia, District of Columbia",3950,"Census Tract 76.03, District of Columbia, District of Columbia",501
"G1100010007604","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007604",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007604",,,"Census Tract 76.04, District of Columbia, District of Columbia",3766,"Census Tract 76.04, District of Columbia, District of Columbia",348
"G1100010007605","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007605",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007605",,,"Census Tract 76.05, District of Columbia, District of Columbia",3609,"Census Tract 76.05, District of Columbia, District of Columbia",411
"G1100010007703","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007703",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007703",,,"Census Tract 77.03, District of Columbia, District of Columbia",5267,"Census Tract 77.03, District of Columbia, District of Columbia",785
"G1100010007707","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007707",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007707",,,"Census Tract 77.07, District of Columbia, District of Columbia",4423,"Census Tract 77.07, District of Columbia, District of Columbia",531
"G1100010007708","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007708",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007708",,,"Census Tract 77.08, District of Columbia, District of Columbia",3070,"Census Tract 77.08, District of Columbia, District of Columbia",319
"G1100010007709","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007709",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007709",,,"Census Tract 77.09, District of Columbia, District of Columbia",2165,"Census Tract 77.09, District of Columbia, District of Columbia",256
"G1100010007803","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007803",,,"Census Tract 78.03, District of Columbia, District of Columbia",3473,"Census Tract 78.03, District of Columbia, District of Columbia",467
"G1100010007804","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007804",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007804",,,"Census Tract 78.04, District of Columbia, District of Columbia",3214,"Census Tract 78.04, District of Columbia, District of Columbia",570
"G1100010007806","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007806",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007806",,,"Census Tract 78.06, District of Columbia, District of Columbia",2080,"Census Tract 78.06, District of Columbia, District of Columbia",281
"G1100010007807","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007807",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007807",,,"Census Tract 78.07, District of Columbia, District of Columbia",2314,"Census Tract 78.07, District of Columbia, District of Columbia",276
"G1100010007808","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007808",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007808",,,"Census Tract 78.08, District of Columbia, District of Columbia",4289,"Census Tract 78.08, District of Columbia, District of Columbia",590
"G1100010007809","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007809",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007809",,,"Census Tract 78.09, District of Columbia, District of Columbia",2805,"Census Tract 78.09, District of Columbia, District of Columbia",423
"G1100010007901","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007901",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007901",,,"Census Tract 79.01, District of Columbia, District of Columbia",3951,"Census Tract 79.01, District of Columbia, District of Columbia",456
"G1100010007903","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"007903",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001007903",,,"Census Tract 79.03, District of Columbia, District of Columbia",1825,"Census Tract 79.03, District of Columbia, District of Columbia",239
"G1100010008001","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008001",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008001",,,"Census Tract 80.01, District of Columbia, District of Columbia",3184,"Census Tract 80.01, District of Columbia, District of Columbia",373
"G1100010008002","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008002",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008002",,,"Census Tract 80.02, District of Columbia, District of Columbia",3546,"Census Tract 80.02, District of Columbia, District of Columbia",239
"G1100010008100","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008100",,,"Census Tract 81, District of Columbia, District of Columbia",3212,"Census Tract 81, District of Columbia, District of Columbia",241
"G1100010008200","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008200",,,"Census Tract 82, District of Columbia, District of Columbia",2929,"Census Tract 82, District of Columbia, District of Columbia",274
"G1100010008301","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008301",,,"Census Tract 83.01, District of Columbia, District of Columbia",2383,"Census Tract 83.01, District of Columbia, District of Columbia",237
"G1100010008302","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008302",,,"Census Tract 83.02, District of Columbia, District of Columbia",2409,"Census Tract 83.02, District of Columbia, District of Columbia",172
"G1100010008402","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008402",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008402",,,"Census Tract 84.02, District of Columbia, District of Columbia",2133,"Census Tract 84.02, District of Columbia, District of Columbia",310
"G1100010008410","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008410",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008410",,,"Census Tract 84.10, District of Columbia, District of Columbia",1355,"Census Tract 84.10, District of Columbia, District of Columbia",180
"G1100010008701","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008701",,,"Census Tract 87.01, District of Columbia, District of Columbia",2311,"Census Tract 87.01, District of Columbia, District of Columbia",352
"G1100010008702","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008702",,,"Census Tract 87.02, District of Columbia, District of Columbia",1930,"Census Tract 87.02, District of Columbia, District of Columbia",250
"G1100010008802","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008802",,,"Census Tract 88.02, District of Columbia, District of Columbia",4598,"Census Tract 88.02, District of Columbia, District of Columbia",478
"G1100010008803","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008803",,,"Census Tract 88.03, District of Columbia, District of Columbia",2148,"Census Tract 88.03, District of Columbia, District of Columbia",446
"G1100010008804","2011-2015","DC",,,"District of Columbia","11","District of Columbia","001",,,"008804",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001008804",,,"Census Tract 88.04, District of Columbia, District of Columbia",2442,"Census Tract 88.04, District of Columbia, District of Columbia",313
